iter	Passed	Remaining
196	375	1531
197	377	1527
198	378	1522
199	379	1518
200	380	1514
201	382	1509
202	383	1505
203	384	1500
204	385	1495
205	386	1490
206	387	1485
207	388	1480
208	390	1476
209	391	1471
210	392	1467
211	393	1462
212	394	1458
213	396	1454
214	397	1450
215	398	1445
216	399	1441
217	400	1436
218	401	1432
219	402	1427
220	403	1423
221	404	1419
222	406	1414
223	407	1410
224	408	1406
225	409	1402
226	410	1397
227	411	1393
228	412	1389
229	413	1385
230	414	1381
231	416	1377
232	417	1372
233	418	1368
234	419	1364
235	420	1360
236	421	1357
237	422	1353
238	423	1349
239	425	1346
240	426	1342
241	427	1338
242	428	1334
243	429	1330
244	430	1327
245	432	1324
246	433	1320
247	434	1316
248	435	1313
249	436	1309
250	437	1306
251	439	1303
252	440	1299
253	441	1296
254	442	1293
255	443	1289
256	444	1286
257	446	1282
258	447	1279
259	448	1276
260	449	1272
261	450	1269
262	451	1265
263	452	1261
264	453	1258
265	455	1255
266	456	1252
267	457	1248
268	458	1245
269	459	1242
270	460	1239
271	461	1236
272	463	1233
273	464	1229
274	465	1226
275	466	1223
276	467	1220
277	468	1217
278	469	1214
279	471	1211
280	472	1208
281	473	1205
282	474	1202
283	475	1199
284	476	1195
285	477	1192
286	478	1189
287	479	1186
288	481	1183
289	482	1180
290	483	1177
291	484	1174
292	485	1171
293	486	1167
294	487	1164
295	488	1161
296	489	1159
297	490	1156
298	491	1153
299	492	1150
300	493	1147
301	495	1144
302	496	1141
303	497	1138
304	498	1135
305	499	1132
306	500	1130
307	501	1127
308	503	1125
309	504	1122
310	505	1119
311	506	1117
312	507	1114
313	508	1111
314	509	1109
315	511	1106
316	512	1103
317	513	1100
318	514	1098
319	515	1095
320	516	1093
321	518	1091
322	519	1088
323	520	1086
324	521	1083
325	522	1080
326	523	1078
327	525	1075
328	526	1073
329	527	1070
330	528	1068
331	529	1066
332	530	1063
333	532	1061
334	533	1058
335	534	1056
336	536	1054
337	537	1052
338	538	1050
339	539	1047
340	541	1045
341	542	1043
342	543	1041
343	545	1039
344	546	1037
345	547	1035
346	549	1033
347	550	1031
348	551	1028
349	552	1026
350	554	1024
351	555	1022
352	556	1020
353	557	1017
354	559	1016
355	560	1014
356	561	1011
357	563	1009
358	564	1007
359	565	1005
360	566	1003
361	567	1000
362	569	998
363	570	996
364	571	994
365	572	991
366	573	989
367	574	987
368	576	985
369	577	982
370	578	980
371	579	978
372	580	975
373	581	973
374	582	971
375	584	969
376	585	966
377	586	964
378	587	962
379	588	960
380	589	958
381	591	956
382	592	954
383	593	952
384	594	950
385	596	948
386	597	946
387	598	944
388	599	942
389	601	940
390	602	938
391	603	935
392	604	933
393	605	931
394	606	929
395	607	927
396	608	924
397	609	922
398	611	920
399	612	918
400	613	916
401	614	914
402	615	912
403	616	909
404	617	907
405	619	905
406	620	903
407	621	901
408	622	899
409	623	897
410	624	895
411	625	893
412	627	891
413	628	889
414	629	887
415	630	885
416	632	883
417	633	881
418	634	879
419	635	877
420	636	875
421	637	873
422	639	871
423	640	869
424	641	867
425	642	865
426	643	863
427	644	861
428	646	859
429	647	858
430	648	856
431	649	854
432	650	852
433	652	850
434	653	848
435	654	846
436	655	844
437	656	842
438	658	841
439	659	839
440	660	837
441	661	835
442	662	833
443	664	831
444	665	829
445	666	827
446	667	825
447	668	824
448	670	822
449	671	820
450	672	818
451	673	816
452	674	814
453	675	812
454	676	810
455	678	808
456	679	807
457	680	805
458	681	803
459	682	801
460	683	799
461	684	797
462	685	795
463	686	793
464	687	791
465	689	789
466	690	787
467	691	785
468	692	783
469	693	782
470	694	780
