iter	RMSE
411	775.1659082
412	774.8444761
413	773.0935661
414	771.709762
415	770.4199003
416	769.529107
417	768.3772333
418	767.8782921
419	766.046896
420	765.5439071
421	764.7465987
422	764.2921171
423	763.979722
424	761.9632918
425	761.5345845
426	760.9248924
427	760.4894191
428	759.7414719
429	759.5043285
430	757.657267
431	756.8830305
432	756.236846
433	755.8678544
434	755.1350424
435	754.5639851
436	754.0021672
437	752.458712
438	752.133268
439	751.6208401
440	751.3036243
441	750.4835482
442	748.7572299
443	748.2590929
444	747.4557191
445	746.7647032
446	745.2897339
447	744.0789035
448	743.5131428
449	743.0876344
450	741.7902996
451	741.2573589
452	741.0335383
453	740.5799227
454	740.3674966
455	739.1542739
456	738.5847862
457	738.3817518
458	737.8643408
459	737.1441984
460	736.1146613
461	735.6339481
462	735.1007779
463	733.9997083
464	732.9436788
465	731.8115948
466	731.4264633
467	730.7151303
468	730.0600183
469	729.2121561
470	728.5885317
471	728.1574635
472	727.8666656
473	726.5872021
474	725.7233136
475	725.0421293
476	724.4713303
477	723.4206291
478	722.7018101
479	721.9086942
480	721.2315758
481	720.253546
482	719.7791287
483	718.9518355
484	718.4566818
485	717.8436166
486	717.0306989
487	716.1006147
488	715.2690855
489	713.9362592
490	713.3561129
491	712.5803662
492	711.349351
493	710.481369
494	709.7799899
495	709.4123403
496	708.1816738
497	707.5670903
498	706.9555861
499	706.4381042
500	705.8332198
501	705.0614526
502	704.0899108
503	703.5840532
504	703.1274853
505	702.6604552
506	701.5281301
507	700.435048
508	699.7454228
509	699.4672734
510	699.1994073
511	698.8752988
512	698.4592166
513	697.8106145
514	697.0643616
515	696.3343319
516	695.3645939
517	694.2688694
518	693.3366869
519	692.2131632
520	691.3956966
521	690.8625313
522	690.0133703
523	689.4646026
524	689.1448571
525	688.9045095
526	687.8905076
527	686.8690959
528	685.8109254
529	685.6427941
530	684.392362
531	683.8772294
532	683.3930085
533	682.777741
534	682.2911409
535	681.8851322
536	681.1798834
537	680.153115
538	678.8997792
539	677.8761007
540	677.2549096
541	677.0011004
542	675.7824004
543	675.2466977
544	675.0443514
545	674.467727
546	673.7023325
547	672.5773547
548	671.9364825
549	671.4522391
550	671.0109918
551	670.6340722
552	669.7107881
553	669.244414
554	668.7900252
555	668.5414163
556	668.1550559
557	667.6263871
558	667.1106645
559	666.1492154
560	665.6465716
561	665.1101628
562	664.2807304
563	663.5633798
564	663.0688861
565	662.4060021
566	661.8547739
567	661.0777556
568	660.4495258
569	659.6504168
570	658.8986361
571	658.1225256
572	657.6595776
573	657.0793254
574	656.0514297
575	655.4708069
576	655.1239928
577	654.9784317
578	654.1450438
579	653.5922644
580	653.1335496
581	652.3339488
582	651.8074331
583	651.0608118
584	650.3667655
585	649.7851988
586	649.1243468
587	648.7999537
588	648.1454746
589	647.446427
590	646.9228906
591	646.7489735
592	646.2192881
593	645.3284235
594	644.7629143
595	644.0396103
596	643.0300886
597	642.2109344
598	641.4925076
599	640.9715331
600	640.5619821
601	639.6593684
602	639.3827906
603	638.5437447
604	638.0875426
605	637.8048228
606	637.5805231
607	637.0786326
608	636.2826038
609	635.7989114
610	634.8285014
611	634.2070355
612	633.5341141
613	633.0580515
614	632.5497992
615	632.290966
616	631.6356143
617	631.4603067
618	630.9676955
619	630.5144743
620	629.8773017
621	629.3060461
622	628.6599361
623	628.4210154
624	627.988097
625	627.1197081
626	626.9241938
627	626.4140086
628	625.7299612
629	624.9657491
630	624.5950316
631	624.0142653
632	623.2102379
633	622.5054464
634	622.0989241
635	621.9207494
636	621.6950532
637	620.9914967
638	620.4176304
639	619.9029607
640	619.205032
641	618.6192168
642	618.2711252
643	617.8006199
644	617.3229853
645	616.9305236
646	616.7008763
647	616.1881227
648	616.0212368
649	615.9072738
650	615.7700219
651	615.5093252
652	615.0132506
653	614.5931257
654	614.2228388
655	613.7981285
656	613.6157667
657	613.2602551
658	613.0519279
659	612.5726762
660	612.3717988
661	611.7893599
662	611.5950722
663	611.4422511
664	610.781288
665	610.0613528
666	609.5044835
667	608.6031819
668	607.9238586
669	607.3332637
670	606.7789425
671	606.5758716
672	606.3311125
673	605.8070472
674	605.1516001
675	604.7597549
676	604.5052252
677	604.335355
678	603.8092849
679	603.6207444
680	603.4647294
681	603.2415026
682	602.6740366
683	602.4155349
684	601.8712709
685	601.3224904
686	600.8025366
687	599.9890767
688	599.4741268
689	599.1234105
690	598.2523525
691	597.8581358
692	596.9857089
693	596.6545075
694	596.1636051
695	595.8209281
696	595.4761708
697	594.9629722
698	594.81489
699	594.1540468
700	593.0802593
701	592.896269
702	592.3917677
703	591.9730198
704	591.6943837
705	591.034633
706	590.5183001
707	590.0702715
708	589.5440732
709	589.0185483
710	588.543166
711	588.064342
712	587.5656732
713	587.1880702
714	586.8530223
715	586.4731822
716	585.7678569
717	585.3346696
718	584.971143
719	584.5740337
720	583.968217
721	583.4442981
722	582.9907862
723	582.644867
724	582.5227379
725	582.127382
726	581.8247726
727	581.568483
728	581.207811
729	580.7038912
730	580.3234004
731	580.1519048
732	579.8156776
733	579.3841169
734	578.6312586
735	578.235734
736	577.7013692
737	577.3271138
738	576.9986588
739	576.9181889
740	576.5353305
741	576.0832606
742	575.8051679
743	575.2269646
744	574.5160451
745	574.3440054
746	573.8761068
747	573.4410396
748	573.0294087
749	572.4741867
750	571.8104293
751	571.5349674
752	571.0102077
753	570.5462273
754	569.919226
755	569.3395451
756	569.0867986
757	568.6464735
758	568.4728814
759	568.3092689
760	567.7959058
761	567.238294
762	566.9622036
763	566.8963272
764	566.3025289
765	565.730392
766	565.487707
767	565.0315891
768	564.9667325
769	564.4276006
770	564.193591
771	563.7614227
772	563.371673
773	562.8853664
774	562.6051775
775	562.3338555
776	561.9893737
777	561.7639776
778	561.557254
779	560.9960023
780	560.7317033
781	560.3272813
782	559.9937845
783	559.8421471
784	559.4437524
785	559.0804331
786	558.830265
787	558.3578682
788	558.1841731
789	557.7107298
790	557.4754495
791	557.1255142
792	556.9505578
793	556.6104681
794	555.9424547
795	555.8649156
796	555.4467272
797	554.9306804
798	554.5348453
799	553.9417044
800	553.6930122
801	553.1737917
802	553.0040989
803	552.7209184
804	552.3751546
805	552.2041085
806	551.9758578
807	551.8162825
808	551.249563
809	550.5532651
810	550.3168922
811	549.8407999
812	549.5603126
813	549.2999269
814	549.0682212
815	548.8529655
816	548.6428352
817	548.3164389
818	547.908867
819	547.753151
820	547.4694626
821	547.3187736
822	547.1254719
823	546.5999948
824	546.267918
825	546.0849546
826	545.7699559
827	545.467763
828	544.9130955
829	544.6215219
830	544.1110517
831	543.8757371
832	543.2570516
833	542.87856
834	542.0257684
835	541.3092698
836	541.1925436
837	540.9522142
838	540.4617885
839	539.9994411
840	539.4626852
841	539.0342921
842	538.601022
843	537.8062044
844	537.3244909
845	536.7954741
846	536.4504884
847	536.0939062
848	535.5617926
849	535.340073
850	534.9744083
851	534.7349933
852	534.4852926
853	534.2717906
854	534.1268431
855	533.8596824
856	533.5348575
857	532.7948421
858	531.919181
859	531.411838
860	531.1275274
861	530.9911114
862	530.7451267
863	530.2679715
864	529.7117564
865	529.2597661
866	529.0316509
867	528.7559151
868	528.6513164
869	528.2573848
870	527.7921921
871	527.5616971
872	527.0585748
873	526.8143392
874	526.4196297
875	526.0011726
876	525.8826951
877	525.4651278
878	525.2919366
879	524.9992703
880	524.7216802
881	524.2782731
882	523.9655865
883	523.5312141
884	522.9526911
885	522.5820543
886	522.0369358
887	521.0964721
888	520.402718
889	519.9754563
890	519.5982448
891	519.2988662
892	518.9280539
893	518.6834644
894	518.3148335
895	517.6180113
896	517.2807595
897	517.0730738
898	516.95073
899	516.6268264
900	516.16467
901	515.7470826
902	515.4249457
903	515.2031961
904	514.9811148
905	514.8123916
906	514.4428419
907	514.1208383
908	513.4617328
909	512.8544902
910	512.3902788
911	512.0489043
912	511.6900916
913	511.4124633
914	511.1331231
915	510.8143187
916	510.4190131
917	510.1409308
918	509.9317385
919	509.6913001
920	509.4902714
921	508.9000688
922	508.3729871
923	507.9153973
924	507.4827488
925	507.0619568
926	506.5622576
927	506.2903346
928	505.9238928
929	505.8286854
930	505.6574021
931	505.3716085
932	505.0695745
933	504.6572248
934	504.3892097
935	504.1929704
936	504.0049333
937	503.3368506
938	502.9740215
939	502.1552503
940	502.0378908
941	501.8576236
942	501.553531
943	501.3641355
944	501.0807513
945	500.6149411
946	500.2626517
947	500.0613583
948	499.8901609
949	499.7042884
950	499.5723113
951	499.083238
952	498.9521777
953	498.7725717
954	498.6212078
955	498.4947512
956	498.3163377
957	498.1920124
958	497.7780906
959	497.4866714
960	497.1429921
961	496.905597
962	496.3448317
963	496.0306338
964	495.8062455
965	495.4102989
966	495.2895804
967	495.0049646
968	494.8912216
969	494.524984
970	494.1628102
971	493.9852058
972	493.7024876
973	493.4926089
974	493.1365357
975	492.8893877
976	492.5966844
977	492.4862001
978	492.1784585
979	491.9124532
980	491.802273
981	491.1516631
982	491.0446821
983	490.7413711
984	490.5762097
985	490.2475535
986	489.9630527
987	489.7060295
988	489.4030676
989	489.0256533
990	488.6482615
991	488.3160294
992	488.0486239
993	487.8314605
994	487.7268563
995	487.5192626
996	487.2219877
997	486.6754999
998	486.5112643
999	486.1858515
